ID;Dept;Gender;Clin;Cert;Prate;Exper;Rank;Sal94;Sal95;;;;;;;
211;5;0;1;1;37;8;2;175791;195678;;;;;;;
212;5;0;1;0;34;3;1;138775;152231;;;;;;;
213;5;0;1;1;43;6;1;167844;189487;;;;;;;
214;5;0;1;1;39;10;2;202231;225599;;;;;;;
215;5;0;1;0;39;2;1;106802;114961;;;;;;;
216;5;0;0;1;58;23;3;204279;227790;;;;;;;
217;5;0;1;1;45;8;3;185413;207462;;;;;;;
218;5;0;0;1;46;9;2;150258;160253;;;;;;;
219;5;0;1;1;4;5;1;128433;145718;;;;;;;
220;5;0;0;1;54;14;1;123940;138566;;;;;;;
221;5;0;0;1;54;3;1;107524;116283;;;;;;;
257;6;0;1;1;29;8;2;297174;323699;;;;;;;
258;6;0;1;1;26;9;3;308081;339664;;;;;;;
259;6;0;1;1;28;8;1;211269;241577;;;;;;;
260;6;0;1;1;24;2;1;210801;233905;;;;;;;
261;6;0;1;1;32;5;1;244551;265502;;;;;;;
